,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cape Town,-33.93,18.42,62.01,87,75,16.11,ZA,1603919660
1,West Lake Stevens,47.99,-122.1,63.0,71,1,4.7,US,1603919856
2,Saint-Leu,-21.15,55.28,73.4,69,0,10.29,RE,1603919856
3,Punta Arenas,-53.15,-70.92,48.2,61,75,18.34,CL,1603919798
4,Yellowknife,62.46,-114.35,24.8,73,90,10.29,CA,1603919856
5,Port Alfred,-33.59,26.89,66.31,85,90,3.15,ZA,1603919856
6,Puerto Ayora,-0.74,-90.35,77.0,65,20,8.05,EC,1603919771
7,Bundaberg,-24.85,152.35,68.0,94,0,4.7,AU,1603919856
8,Barrow,71.29,-156.79,24.8,62,75,9.17,US,1603919756
9,Marsh Harbour,26.54,-77.06,81.66,79,23,14.83,BS,1603919857
10,Olafsvik,64.89,-23.71,42.48,71,0,25.93,IS,1603919857
11,Ushuaia,-54.8,-68.3,44.6,75,75,28.86,AR,1603919613
12,Oranjemund,-28.55,16.43,59.29,79,94,2.19,NA,1603919857
13,Bethel,41.37,-73.41,53.6,87,90,4.7,US,1603919857
14,Rikitea,-23.12,-134.97,74.75,83,51,13.13,PF,1603919857
15,Port Blair,11.67,92.75,79.79,80,83,4.09,IN,1603919716
16,Korla,41.76,86.15,48.0,61,10,1.99,CN,1603919857
17,Tripoli,32.88,13.19,69.42,53,2,11.14,LY,1603919857
18,Harper,4.38,-7.72,77.79,86,13,4.92,LR,1603919858
19,Bereda,43.27,-7.54,55.99,87,40,11.41,ES,1603919858
20,Hermanus,-34.42,19.23,63.0,60,74,1.01,ZA,1603919858
21,Pevek,69.7,170.31,22.3,97,100,13.94,RU,1603919858
22,East London,-33.02,27.91,68.72,81,93,2.71,ZA,1603919858
23,Mar del Plata,-38.0,-57.56,63.0,55,90,5.82,AR,1603919700
24,Krasnaya Gorka,55.2,56.67,29.48,94,0,7.23,RU,1603919859
25,Saint George,37.1,-113.58,70.0,13,1,6.93,US,1603919574
26,Tuktoyaktuk,69.45,-133.04,21.2,92,75,24.16,CA,1603919859
27,Lavrentiya,65.58,-171.0,26.22,87,96,3.04,RU,1603919859
28,Saint-Philippe,-21.36,55.77,73.4,69,0,10.29,RE,1603919860
29,Richards Bay,-28.78,32.04,77.31,66,76,17.4,ZA,1603919860
30,Zarand,30.81,56.56,43.52,57,0,1.97,IR,1603919860
31,Nytva,57.94,55.33,33.8,80,0,15.66,RU,1603919860
32,Talara,-4.58,-81.27,66.99,79,39,20.85,PE,1603919860
33,Mogadishu,2.04,45.34,79.61,82,47,8.37,SO,1603919818
34,Salym,60.06,71.48,10.33,92,93,1.99,RU,1603919860
35,Capitão Poço,-1.75,-47.06,86.16,58,73,6.24,BR,1603919860
36,Ponta do Sol,32.67,-17.1,68.0,72,40,5.82,PT,1603919861
37,Busselton,-33.65,115.33,54.0,56,0,10.63,AU,1603919861
38,Yulara,-25.24,130.99,59.0,44,0,3.36,AU,1603919861
39,Carnarvon,-24.87,113.63,68.0,94,0,13.87,AU,1603919861
40,Honiara,-9.43,159.95,77.0,100,90,5.82,SB,1603919861
41,Mazatlán,23.22,-106.42,87.8,40,5,9.17,MX,1603919764
42,Longyearbyen,78.22,15.64,30.2,68,75,11.41,SJ,1603919861
43,Severo-Kuril'sk,50.68,156.12,42.33,79,74,2.15,RU,1603919861
